aldur,tilfelli,p_spitali,p_alvarlegt,p_fatality,flat_dreifing_aldur_iceland,dreifing_aldur_data,tilfelli_smoothed,smoothed_dreifing,mismunur,auka_tilfelli,population,tilfelli_per_popo,tilfelli_tilraun
[0 - 9],46,0.001,0.05,0.00002,0.122,0.029,46,0.028,0.966,0,40260,0.114,19
[10 - 19],149,0.003,0.05,0.00006,0.126,0.095,149,0.091,0.958,0,41580,0.358,61
[20 - 29],265,0.012,0.05,0.0003,0.155,0.17,265,0.162,0.953,0,51150,0.518,135
[30 - 39],254,0.032,0.05,0.0008,0.147,0.163,254,0.156,0.957,0,48510,0.524,153
[40 - 49],324,0.049,0.06,0.0015,0.129,0.207,324,0.198,0.957,0,42570,0.761,208
[50 - 59],264,0.102,0.12,0.006,0.121,0.169,264,0.162,0.959,0,39930,0.661,160
[60 - 69],191,0.166,0.27,0.022,0.103,0.122,191,0.117,0.959,0,33990,0.562,117
[70 - 79],52,0.243,0.43,0.051,0.0629,0.033,90,0.055,1.667,38,20757,0.251,69
80+,17,0.273,0.709,0.093,0.0346,0.011,50,0.031,2.818,33,11418,0.149,39
